covariate,SMD_pre,SMD_post
Age,0.186,0.029
"Sex, F0 M1",0.157,0.003
Pneumonia,0.015,0.01
UTI,0.216,0.012
GIB,0.156,0.003
Cellulitis,0.188,0.003
StrokeInEvolution,0.045,0.0
tPA,0.131,0.001
IA,0.018,0.002
tPAIA,0.141,0.005
Neurology_LOS,0.266,0.006
Dissection,0.215,0.004
ACA,0.115,0.005
Undetermined,0.146,0.003
LVS,0.201,0.007
LVO,0.031,0.002
Side_Right,0.091,0.006
Side_Left,0.009,0.005
Side_Bilateral,0.161,0.004
Loc_CortSub,0.246,0.005
Loc_Subcortical,0.173,0.006
Loc_Infratentorial,0.05,0.002
AF,0.203,0.004
DM,0.351,0.009
HTN,0.071,0.009
Dyslipidemia,0.083,0.005
CAD,0.131,0.0
CKD,0.244,0.005
RestrictiveLung,0.246,0.001
GIUlcer,0.147,0.007
LiverCirrhosis,0.099,0.007
Hepatitis,0.056,0.003
Parkinsonism,0.168,0.002
Malignancy,0.113,0.003
OldStroke,0.203,0.008
Dementia,0.056,0.002
Psychiatric,0.046,0.002
Gout,0.088,0.002
ConsOut,0.223,0.003
AnswerOut,0.265,0.017
OrderOut,0.054,0.01
EOMOut,0.094,0.004
VisualOut,0.152,0.002
LUOut,0.011,0.007
RUOut,0.209,0.009
LLOut,0.054,0.001
RLOut,0.202,0.009
SensoryOut,0.436,0.014
LanguageOut,0.001,0.003
ArticulateOut,0.197,0.003
NeglectOut,0.061,0.002
MRS1,0.119,0.007
BI1,0.217,0.012
FOIS1,0.037,0.006
MNA1,0.111,0.0
EuroQoL5D1,0.023,0.001
IADL1,0.321,0.011
BBS1,0.523,0.022
FuglUE1,0.285,0.009
FuglSEN1,0.519,0.018
CCAT1,0.542,0.042
6MWT1,0.273,0.013
Gait_Speed_1,0.201,0.013
