delta,mean_shift_population_mean,pattern_mixture_mi_pooled_mean,pattern_mixture_mi_pooled_se,abs_diff_m,discrepancy_gt_5m
0,313.73292889098997,312.58499471214583,19.084940417127353,1.1479341788441388,False
5,313.29059081832014,312.4817990757952,19.130779863490346,0.8087917425249316,False
10,312.8482527456503,312.37860343944453,19.176961402271353,0.46964930620578116,False
15,312.4059146729805,312.27540780309386,19.22348256799308,0.13050686988663074,False
20,311.96357660031066,312.1722121667433,19.270340900941875,0.20863556643263337,False
25,311.52123852764083,312.06901653039256,19.317533947529224,0.547778002751727,False
30,311.078900454971,311.9658208940419,19.365059260643275,0.8869204390708774,False
35,310.63656238230124,311.86262525769126,19.412914399990502,1.2260628753900278,False
40,310.1942243096314,311.7594296213406,19.46109693242759,1.5652053117091782,False
45,309.7518862369616,311.6562339849899,19.50960443228354,1.9043477480283286,False
50,309.30954816429175,311.5530383486393,19.55843448167218,2.243490184347536,False
55,308.8672100916219,311.4498427122886,19.60758467079514,2.5826326206666863,False
60,308.4248720189521,311.34664707593794,19.657052598235286,2.9217750569858367,False
65,307.9825339462823,311.2434514395873,19.706835871240916,3.260917493305044,False
70,307.54019587361245,311.14025580323664,19.75693210600062,3.6000599296241944,False
75,307.0978578009426,311.03706016688596,19.807338927909004,3.939202365943345,False
80,306.6555197282728,310.93386453053535,19.858053971823416,4.278344802262552,False
85,306.21318165560297,310.8306688941846,19.909074882311714,4.617487238581646,False
90,305.77084358293314,310.72747325783405,19.960399313891237,4.95662967490091,False
95,305.3285055102633,310.6242776214833,20.012024931259088,5.295772111220003,True
100,304.8861674375935,310.52108198513264,20.06394940951387,5.634914547539154,True
105,304.44382936492366,310.4178863487821,20.116170434368957,5.974056983858418,True
110,304.00149129225383,310.31469071243134,20.168685702357468,6.3131994201775115,True
115,303.559153219584,310.21149507608067,20.22149292102906,6.652341856496662,True
120,303.1168151469142,310.10829943973005,20.27458980913866,6.991484292815869,True
125,302.67447707424435,310.00510380337937,20.32797409682729,7.33062672913502,True
130,302.2321390015745,309.9019081670287,20.381643525795074,7.66976916545417,True
135,301.7898009289047,309.7987125306781,20.435595849466644,8.008911601773377,True
140,301.34746285623487,309.6955168943274,20.489828833148984,8.348054038092528,True
145,300.90512478356504,309.5923212579768,20.544340254181922,8.687196474411735,True
150,300.4627867108952,309.4891256216261,20.599127902081367,9.026338910730885,True
