delta,mean_shift_population_mean,pattern_mixture_mi_pooled_mean,pattern_mixture_mi_pooled_se,abs_diff_m,discrepancy_gt_5m
0,312.26078577923164,296.49758102699707,4.3597106210101435,15.763204752234572,True
5,311.8184477065618,296.05524295432724,4.362447042495057,15.763204752234572,True
10,311.376109633892,295.61290488165747,4.365778227500905,15.763204752234515,True
15,310.93377156122216,295.17056680898764,4.369702815797653,15.763204752234515,True
20,310.49143348855233,294.7282287363178,4.374219210165494,15.763204752234515,True
25,310.0490954158825,294.28589066364793,4.379325579617669,15.763204752234572,True
30,309.6067573432127,293.84355259097816,4.3850198630711255,15.763204752234515,True
35,309.16441927054285,293.40121451830834,4.3912997734480586,15.763204752234515,True
40,308.722081197873,292.9588764456385,4.398162802189507,15.763204752234515,True
45,308.2797431252032,292.5165383729686,4.405606224160742,15.763204752234572,True
50,307.83740505253337,292.07420030029886,4.413627102926368,15.763204752234515,True
55,307.39506697986354,291.63186222762903,4.422222296372091,15.763204752234515,True
60,306.9527289071937,291.1895241549592,4.431388462648762,15.763204752234515,True
65,306.5103908345239,290.7471860822893,4.441122066413463,15.763204752234572,True
70,306.06805276185406,290.30484800961955,4.451419385341546,15.763204752234515,True
75,305.62571468918424,289.8625099369497,4.462276516883099,15.763204752234515,True
80,305.1833766165144,289.4201718642799,4.473689385236763,15.763204752234515,True
85,304.7410385438446,288.97783379161,4.4856537485137755,15.763204752234572,True
90,304.29870047117475,288.53549571894024,4.498165206064947,15.763204752234515,True
95,303.8563623985049,288.0931576462704,4.511219205943415,15.763204752234515,True
100,303.4140243258351,287.6508195736006,4.5248110524765695,15.763204752234515,True
105,302.9716862531653,287.2084815009307,4.538935913920499,15.763204752234572,True
110,302.52934818049545,286.76614342826093,4.553588830171488,15.763204752234515,True
115,302.0870101078256,286.3238053555911,4.5687647205092095,15.763204752234515,True
120,301.6446720351558,285.8814672829213,4.584458391347719,15.763204752234515,True
125,301.20233396248597,285.4391292102514,4.600664543970731,15.763204752234572,True
130,300.75999588981614,284.9967911375816,4.617377782229024,15.763204752234515,True
135,300.3176578171463,284.5544530649118,4.6345926201789185,15.763204752234515,True
140,299.8753197444765,284.11211499224197,4.6523034896418185,15.763204752234515,True
145,299.43298167180666,283.6697769195721,4.6705047476661425,15.763204752234572,True
150,298.99064359913683,283.2274388469023,4.689190683874177,15.763204752234515,True
